nt 600000
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
POcclude_NumSites[i] 0 0.000000
POcclude_NumSites[i] 1 0.000000
POcclude_NumSites[i] 2 0.000000
POcclude_NumSites[i] 3 0.000000
POcclude_NumSites[i] 4 0.000000
POcclude_NumSites[i] 5 0.000000
POcclude_NumSites[i] 6 0.000000
POcclude_NumSites[i] 7 0.000000
POcclude_NumSites[i] 8 0.000000
POcclude_NumSites[i] 9 0.000000
POcclude_NumSites[i] 10 0.000000
POcclude_NumSites[i] 11 0.000000
POcclude_NumSites[i] 12 0.000000
POcclude_NumSites[i] 13 0.000000
POcclude_NumSites[i] 14 0.000000
POcclude_NumSites[i] 15 0.000000
POcclude_NumSites[i] 16 0.000000
POcclude_NumSites[i] 17 0.000000
POcclude_NumSites[i] 18 0.000000
POcclude_NumSites[i] 19 0.000000
POcclude_NumSites[i] 20 0.000000
POcclude_NumSites[i] 21 0.000000
POcclude_NumSites[i] 22 0.000000
POcclude_NumSites[i] 23 0.000000
POcclude_NumSites[i] 24 0.000000
POcclude_NumSites[i] 25 0.000000
POcclude_NumSites[i] 26 0.000000
POcclude_NumSites[i] 27 0.000000
POcclude_NumSites[i] 28 0.000000
POcclude_NumSites[i] 29 0.000000
POcclude_NumSites[i] 30 0.000000
POcclude_NumSites[i] 31 0.000000
POcclude_NumSites[i] 32 0.000000
POcclude_NumSites[i] 33 0.000000
POcclude_NumSites[i] 34 0.000000
POcclude_NumSites[i] 35 0.000000
POcclude_NumSites[i] 36 0.000000
POcclude_NumSites[i] 37 0.000000
POcclude_NumSites[i] 38 0.000000
POcclude_NumSites[i] 39 0.000000
POcclude_NumSites[i] 40 0.000000
POcclude_NumSites[i] 41 0.000020
POcclude_NumSites[i] 42 0.000145
POcclude_NumSites[i] 43 0.000460
POcclude_NumSites[i] 44 0.001140
POcclude_NumSites[i] 45 0.003187
POcclude_NumSites[i] 46 0.006620
POcclude_NumSites[i] 47 0.012627
POcclude_NumSites[i] 48 0.023058
POcclude_NumSites[i] 49 0.041820
POcclude_NumSites[i] 50 0.066720
POcclude_NumSites[i] 51 0.097742
POcclude_NumSites[i] 52 0.126853
POcclude_NumSites[i] 53 0.150338
POcclude_NumSites[i] 54 0.151895
POcclude_NumSites[i] 55 0.132098
POcclude_NumSites[i] 56 0.095992
POcclude_NumSites[i] 57 0.057368
POcclude_NumSites[i] 58 0.024557
POcclude_NumSites[i] 59 0.006655
POcclude_NumSites[i] 60 0.000702
PAvailable_NumSites[i] 0 0.000702
PAvailable_NumSites[i] 1 0.006655
PAvailable_NumSites[i] 2 0.024557
PAvailable_NumSites[i] 3 0.057368
PAvailable_NumSites[i] 4 0.095992
PAvailable_NumSites[i] 5 0.132098
PAvailable_NumSites[i] 6 0.151895
PAvailable_NumSites[i] 7 0.150338
PAvailable_NumSites[i] 8 0.126853
PAvailable_NumSites[i] 9 0.097742
PAvailable_NumSites[i] 10 0.066720
PAvailable_NumSites[i] 11 0.041820
PAvailable_NumSites[i] 12 0.023058
PAvailable_NumSites[i] 13 0.012627
PAvailable_NumSites[i] 14 0.006620
PAvailable_NumSites[i] 15 0.003187
PAvailable_NumSites[i] 16 0.001140
PAvailable_NumSites[i] 17 0.000460
PAvailable_NumSites[i] 18 0.000145
PAvailable_NumSites[i] 19 0.000020
PAvailable_NumSites[i] 20 0.000000
PAvailable_NumSites[i] 21 0.000000
PAvailable_NumSites[i] 22 0.000000
PAvailable_NumSites[i] 23 0.000000
PAvailable_NumSites[i] 24 0.000000
PAvailable_NumSites[i] 25 0.000000
PAvailable_NumSites[i] 26 0.000000
PAvailable_NumSites[i] 27 0.000000
PAvailable_NumSites[i] 28 0.000000
PAvailable_NumSites[i] 29 0.000000
PAvailable_NumSites[i] 30 0.000000
PAvailable_NumSites[i] 31 0.000000
PAvailable_NumSites[i] 32 0.000000
PAvailable_NumSites[i] 33 0.000000
PAvailable_NumSites[i] 34 0.000000
PAvailable_NumSites[i] 35 0.000000
PAvailable_NumSites[i] 36 0.000000
PAvailable_NumSites[i] 37 0.000000
PAvailable_NumSites[i] 38 0.000000
PAvailable_NumSites[i] 39 0.000000
PAvailable_NumSites[i] 40 0.000000
PAvailable_NumSites[i] 41 0.000000
PAvailable_NumSites[i] 42 0.000000
PAvailable_NumSites[i] 43 0.000000
PAvailable_NumSites[i] 44 0.000000
PAvailable_NumSites[i] 45 0.000000
PAvailable_NumSites[i] 46 0.000000
PAvailable_NumSites[i] 47 0.000000
PAvailable_NumSites[i] 48 0.000000
PAvailable_NumSites[i] 49 0.000000
PAvailable_NumSites[i] 50 0.000000
PAvailable_NumSites[i] 51 0.000000
PAvailable_NumSites[i] 52 0.000000
PAvailable_NumSites[i] 53 0.000000
PAvailable_NumSites[i] 54 0.000000
PAvailable_NumSites[i] 55 0.000000
PAvailable_NumSites[i] 56 0.000000
PAvailable_NumSites[i] 57 0.000000
PAvailable_NumSites[i] 58 0.000000
PAvailable_NumSites[i] 59 0.000000
PAvailable_NumSites[i] 60 0.000000
N[nf] 0 30
ksStatistic[nf] 0 0.019530
reeBar[nf] 0 5.082480
ree2Bar[nf] 0 30.264886
rMBar[nf] 0 -0.001898
rM2Bar[nf] 0 9.959765
iSite[nf][iy] 0 0 0
POcclude[nf][iy] 0 0 9.101200e-01
1-POcclude[nf][iy] 0 0 8.988000e-02
PMembraneOcclude[nf][iy] 0 0 0.000000e+00
Prvec0[nf][iy] 0 0 0.000000e+00
rMiSiteBar[nf][iy] 0 0 -0.019643
rM2iSiteBar[nf][iy] 0 0 0.233288
iSite[nf][iy] 0 1 1
POcclude[nf][iy] 0 1 9.110325e-01
1-POcclude[nf][iy] 0 1 8.896750e-02
PMembraneOcclude[nf][iy] 0 1 0.000000e+00
Prvec0[nf][iy] 0 1 1.998868e-01
rMiSiteBar[nf][iy] 0 1 -0.068319
rM2iSiteBar[nf][iy] 0 1 0.590055
iSite[nf][iy] 0 2 2
POcclude[nf][iy] 0 2 9.031975e-01
1-POcclude[nf][iy] 0 2 9.680250e-02
PMembraneOcclude[nf][iy] 0 2 0.000000e+00
Prvec0[nf][iy] 0 2 5.308112e-02
rMiSiteBar[nf][iy] 0 2 -0.084644
rM2iSiteBar[nf][iy] 0 2 0.945879
iSite[nf][iy] 0 3 3
POcclude[nf][iy] 0 3 8.803800e-01
1-POcclude[nf][iy] 0 3 1.196200e-01
PMembraneOcclude[nf][iy] 0 3 0.000000e+00
Prvec0[nf][iy] 0 3 4.241185e-02
rMiSiteBar[nf][iy] 0 3 -0.100237
rM2iSiteBar[nf][iy] 0 3 1.240555
iSite[nf][iy] 0 4 4
POcclude[nf][iy] 0 4 9.139900e-01
1-POcclude[nf][iy] 0 4 8.601000e-02
PMembraneOcclude[nf][iy] 0 4 0.000000e+00
Prvec0[nf][iy] 0 4 2.331325e-02
rMiSiteBar[nf][iy] 0 4 -0.061654
rM2iSiteBar[nf][iy] 0 4 1.519764
iSite[nf][iy] 0 5 5
POcclude[nf][iy] 0 5 9.083325e-01
1-POcclude[nf][iy] 0 5 9.166750e-02
PMembraneOcclude[nf][iy] 0 5 0.000000e+00
Prvec0[nf][iy] 0 5 2.573005e-02
rMiSiteBar[nf][iy] 0 5 -0.033957
rM2iSiteBar[nf][iy] 0 5 1.860418
iSite[nf][iy] 0 6 6
POcclude[nf][iy] 0 6 8.914775e-01
1-POcclude[nf][iy] 0 6 1.085225e-01
PMembraneOcclude[nf][iy] 0 6 0.000000e+00
Prvec0[nf][iy] 0 6 1.069875e-02
rMiSiteBar[nf][iy] 0 6 -0.016089
rM2iSiteBar[nf][iy] 0 6 2.240218
iSite[nf][iy] 0 7 7
POcclude[nf][iy] 0 7 9.135550e-01
1-POcclude[nf][iy] 0 7 8.644500e-02
PMembraneOcclude[nf][iy] 0 7 0.000000e+00
