nt 51400001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
POcclude_NumSites[i] 0 0.000000
POcclude_NumSites[i] 1 0.000000
POcclude_NumSites[i] 2 0.000000
POcclude_NumSites[i] 3 0.000000
POcclude_NumSites[i] 4 0.000000
POcclude_NumSites[i] 5 0.000000
POcclude_NumSites[i] 6 0.000000
POcclude_NumSites[i] 7 0.000000
POcclude_NumSites[i] 8 0.000000
POcclude_NumSites[i] 9 0.000000
POcclude_NumSites[i] 10 0.000000
POcclude_NumSites[i] 11 0.000000
POcclude_NumSites[i] 12 0.000000
POcclude_NumSites[i] 13 0.000000
POcclude_NumSites[i] 14 0.000000
POcclude_NumSites[i] 15 0.000000
POcclude_NumSites[i] 16 0.000000
POcclude_NumSites[i] 17 0.000000
POcclude_NumSites[i] 18 0.000000
POcclude_NumSites[i] 19 0.000000
POcclude_NumSites[i] 20 0.000000
POcclude_NumSites[i] 21 0.000000
POcclude_NumSites[i] 22 0.000000
POcclude_NumSites[i] 23 0.000000
POcclude_NumSites[i] 24 0.000000
POcclude_NumSites[i] 25 0.000000
POcclude_NumSites[i] 26 0.000000
POcclude_NumSites[i] 27 0.000000
POcclude_NumSites[i] 28 0.000000
POcclude_NumSites[i] 29 0.000000
POcclude_NumSites[i] 30 0.000000
POcclude_NumSites[i] 31 0.000000
POcclude_NumSites[i] 32 0.000000
POcclude_NumSites[i] 33 0.000000
POcclude_NumSites[i] 34 0.000000
POcclude_NumSites[i] 35 0.000000
POcclude_NumSites[i] 36 0.000000
POcclude_NumSites[i] 37 0.000000
POcclude_NumSites[i] 38 0.000001
POcclude_NumSites[i] 39 0.000004
POcclude_NumSites[i] 40 0.000016
POcclude_NumSites[i] 41 0.000045
POcclude_NumSites[i] 42 0.000122
POcclude_NumSites[i] 43 0.000321
POcclude_NumSites[i] 44 0.000805
POcclude_NumSites[i] 45 0.001973
POcclude_NumSites[i] 46 0.004516
POcclude_NumSites[i] 47 0.009599
POcclude_NumSites[i] 48 0.018852
POcclude_NumSites[i] 49 0.034374
POcclude_NumSites[i] 50 0.057800
POcclude_NumSites[i] 51 0.088287
POcclude_NumSites[i] 52 0.121251
POcclude_NumSites[i] 53 0.148533
POcclude_NumSites[i] 54 0.158465
POcclude_NumSites[i] 55 0.144054
POcclude_NumSites[i] 56 0.108503
POcclude_NumSites[i] 57 0.064565
POcclude_NumSites[i] 58 0.028494
POcclude_NumSites[i] 59 0.008247
POcclude_NumSites[i] 60 0.001172
PAvailable_NumSites[i] 0 0.001172
PAvailable_NumSites[i] 1 0.008247
PAvailable_NumSites[i] 2 0.028494
PAvailable_NumSites[i] 3 0.064565
PAvailable_NumSites[i] 4 0.108503
PAvailable_NumSites[i] 5 0.144054
PAvailable_NumSites[i] 6 0.158465
PAvailable_NumSites[i] 7 0.148533
PAvailable_NumSites[i] 8 0.121251
PAvailable_NumSites[i] 9 0.088287
PAvailable_NumSites[i] 10 0.057800
PAvailable_NumSites[i] 11 0.034374
PAvailable_NumSites[i] 12 0.018852
PAvailable_NumSites[i] 13 0.009599
PAvailable_NumSites[i] 14 0.004516
PAvailable_NumSites[i] 15 0.001973
PAvailable_NumSites[i] 16 0.000805
PAvailable_NumSites[i] 17 0.000321
PAvailable_NumSites[i] 18 0.000122
PAvailable_NumSites[i] 19 0.000045
PAvailable_NumSites[i] 20 0.000016
PAvailable_NumSites[i] 21 0.000004
PAvailable_NumSites[i] 22 0.000001
PAvailable_NumSites[i] 23 0.000000
PAvailable_NumSites[i] 24 0.000000
PAvailable_NumSites[i] 25 0.000000
PAvailable_NumSites[i] 26 0.000000
PAvailable_NumSites[i] 27 0.000000
PAvailable_NumSites[i] 28 0.000000
PAvailable_NumSites[i] 29 0.000000
PAvailable_NumSites[i] 30 0.000000
PAvailable_NumSites[i] 31 0.000000
PAvailable_NumSites[i] 32 0.000000
PAvailable_NumSites[i] 33 0.000000
PAvailable_NumSites[i] 34 0.000000
PAvailable_NumSites[i] 35 0.000000
PAvailable_NumSites[i] 36 0.000000
PAvailable_NumSites[i] 37 0.000000
PAvailable_NumSites[i] 38 0.000000
PAvailable_NumSites[i] 39 0.000000
PAvailable_NumSites[i] 40 0.000000
PAvailable_NumSites[i] 41 0.000000
PAvailable_NumSites[i] 42 0.000000
PAvailable_NumSites[i] 43 0.000000
PAvailable_NumSites[i] 44 0.000000
PAvailable_NumSites[i] 45 0.000000
PAvailable_NumSites[i] 46 0.000000
PAvailable_NumSites[i] 47 0.000000
PAvailable_NumSites[i] 48 0.000000
PAvailable_NumSites[i] 49 0.000000
PAvailable_NumSites[i] 50 0.000000
PAvailable_NumSites[i] 51 0.000000
PAvailable_NumSites[i] 52 0.000000
PAvailable_NumSites[i] 53 0.000000
PAvailable_NumSites[i] 54 0.000000
PAvailable_NumSites[i] 55 0.000000
PAvailable_NumSites[i] 56 0.000000
PAvailable_NumSites[i] 57 0.000000
PAvailable_NumSites[i] 58 0.000000
PAvailable_NumSites[i] 59 0.000000
PAvailable_NumSites[i] 60 0.000000
N[nf] 0 30
ksStatistic[nf] 0 0.003123
reeBar[nf] 0 5.055750
ree2Bar[nf] 0 29.979263
rMBar[nf] 0 -0.000152
rM2Bar[nf] 0 9.934178
iSite[nf][iy] 0 0 0
POcclude[nf][iy] 0 0 9.065867e-01
1-POcclude[nf][iy] 0 0 9.341334e-02
PMembraneOcclude[nf][iy] 0 0 0.000000e+00
Prvec0[nf][iy] 0 0 0.000000e+00
rMiSiteBar[nf][iy] 0 0 -0.000549
rM2iSiteBar[nf][iy] 0 0 0.249753
iSite[nf][iy] 0 1 1
POcclude[nf][iy] 0 1 9.107350e-01
1-POcclude[nf][iy] 0 1 8.926498e-02
PMembraneOcclude[nf][iy] 0 1 0.000000e+00
Prvec0[nf][iy] 0 1 1.797408e-01
rMiSiteBar[nf][iy] 0 1 -0.002094
rM2iSiteBar[nf][iy] 0 1 0.594983
iSite[nf][iy] 0 2 2
POcclude[nf][iy] 0 2 9.110620e-01
1-POcclude[nf][iy] 0 2 8.893799e-02
PMembraneOcclude[nf][iy] 0 2 0.000000e+00
Prvec0[nf][iy] 0 2 4.132341e-02
rMiSiteBar[nf][iy] 0 2 -0.002164
rM2iSiteBar[nf][iy] 0 2 0.927593
iSite[nf][iy] 0 3 3
POcclude[nf][iy] 0 3 9.112007e-01
1-POcclude[nf][iy] 0 3 8.879926e-02
PMembraneOcclude[nf][iy] 0 3 0.000000e+00
Prvec0[nf][iy] 0 3 4.472042e-02
rMiSiteBar[nf][iy] 0 3 -0.001571
rM2iSiteBar[nf][iy] 0 3 1.258807
iSite[nf][iy] 0 4 4
POcclude[nf][iy] 0 4 9.113542e-01
1-POcclude[nf][iy] 0 4 8.864584e-02
PMembraneOcclude[nf][iy] 0 4 0.000000e+00
Prvec0[nf][iy] 0 4 2.948856e-02
rMiSiteBar[nf][iy] 0 4 0.000001
rM2iSiteBar[nf][iy] 0 4 1.592457
iSite[nf][iy] 0 5 5
POcclude[nf][iy] 0 5 9.095818e-01
1-POcclude[nf][iy] 0 5 9.041820e-02
PMembraneOcclude[nf][iy] 0 5 0.000000e+00
Prvec0[nf][iy] 0 5 2.399090e-02
rMiSiteBar[nf][iy] 0 5 0.000419
rM2iSiteBar[nf][iy] 0 5 1.928603
iSite[nf][iy] 0 6 6
POcclude[nf][iy] 0 6 9.096712e-01
1-POcclude[nf][iy] 0 6 9.032877e-02
PMembraneOcclude[nf][iy] 0 6 0.000000e+00
Prvec0[nf][iy] 0 6 2.009723e-02
rMiSiteBar[nf][iy] 0 6 -0.000324
rM2iSiteBar[nf][iy] 0 6 2.265985
iSite[nf][iy] 0 7 7
POcclude[nf][iy] 0 7 9.109134e-01
1-POcclude[nf][iy] 0 7 8.908658e-02
PMembraneOcclude[nf][iy] 0 7 0.000000e+00
